,Most Memorable Characteristics
46,"smooth, wild berries"
96,"oily, dried fruit, leather"
123,cardamon
146,"creamy,sticky, peanut butter"
196,"balanced, cherry, choco"
198,"creamy, complex, balanced"
205,"creamy, bright fruit"
209,"long lasting, cocoa"
214,"smooth, nutty, cocoa"
358,"marshmallow, distinquished"
377,"dark berry, tropical, nutty"
399,"smooth, banana, tart, roasty"
409,"creamy, rounded, orange"
513,"nutty, tart, coffee"
591,chocolate and grapes
639,"cherry, perfectly balanced roast"
679,distinct choco and graham
687,"sweet spice, floral"
711,"well defined, creamy, cherry"
714,"creamy, sticky, dried fruit"
717,"dried fruit, fig, astringent, sticky"
726,"creamy, complex, coffee"
727,"creamy, nuts, woody, cocoa"
728,"creamy, mint, tobacco, olive"
739,"creamy, sticky, fruit"
806,"tart, red berry, smoke"
811,"banana, yogurt, cocoa"
868,"honey, deep cocoa"
869,"banana,dairy, cocoa"
937,"dark berry, honey, cream"
964,"creamy, nutty, delicate fruit"
965,"creamy, nutty, fruity"
966,"peanut, coffee, cocoa, bread"
967,"creamy, nutty, earthy"
1005,"mild, licorice, coffee, cocoa"
1076,"sticky, red fruit"
1077,"creamy, grassy, smoke, nut"
1159,"nuts, butterscotch, brownie"
1165,"peanut butter, raspberry"
1197,"mild tart, wine, red fruit, long"
1200,"simple red berry, rich, long"
1202,"creamy, cocoa, grapes"
1222,"sweet, cocoa, tangerine"
1241,grapes and honey
1303,"creamy, pistachio, floral"
1310,"ligt color, creamy, peanut"
1337,"strawberry, cocoa, nutty"
1338,"complex,spice,caramel,cocoa"
1346,"creamy, raisin, lemon"
1347,"creamy, complex, peanut"
1356,"pronounced berry,mild smoke"
1357,"delicate, nutty, cocoa, dairy"
1358,"roasted nuts, burnt brownie"
1359,"floral, berry, clove"
1368,"balanced, nuts, strawberry"
1376,"creamy, honey, blackberry"
1378,"creamy, honey, marshmallow"
1380,"creamy, acidic, balanced"
1381,"nutty, cocoa"
1384,"cinamon, nutmeg, hot cocoa"
1427,fig
1463,"smokey, raspberries, cocoa"
1473,cinamon and nutmeg
1504,"rich cocoa, spicy, cinamon"
1514,"creamy, nutty, cocoa"
1550,"creamy, fatty, floral"
1551,"creamy, coconut, tang"
1554,"creamy, strawberry, nutty"
