,characteristics,frequency,percentage
0,smoke,11,0.12790697674418605
15,smokey,7,0.08139534883720931
19,fruit,7,0.08139534883720931
1,ham,5,0.05813953488372093
14,sour,4,0.046511627906976744
11,hammy,3,0.03488372093023256
3,astringent,2,0.023255813953488372
31,tart,2,0.023255813953488372
10,sour fruit,2,0.023255813953488372
12,intense,2,0.023255813953488372
29,red berry,2,0.023255813953488372
22,mild smoke,2,0.023255813953488372
21,sandy,2,0.023255813953488372
35,fatty,2,0.023255813953488372
43,woodsy,1,0.011627906976744186
32,cherries,1,0.011627906976744186
33,plum,1,0.011627906976744186
45,savory lemon,1,0.011627906976744186
34,molasses,1,0.011627906976744186
37,grassy,1,0.011627906976744186
36,creamy,1,0.011627906976744186
42,mushroom,1,0.011627906976744186
44,mild burnt,1,0.011627906976744186
38,nut,1,0.011627906976744186
39,intensely smokey,1,0.011627906976744186
40,dates,1,0.011627906976744186
41,musty,1,0.011627906976744186
30,mild smoke and fruit,1,0.011627906976744186
23,"raspberry,cocoa",1,0.011627906976744186
28,rubbery,1,0.011627906976744186
27,vegetal,1,0.011627906976744186
2,sour milk,1,0.011627906976744186
4,smomkey cocoa,1,0.011627906976744186
5,gritty,1,0.011627906976744186
6,sticky,1,0.011627906976744186
7,"smoke,hammy",1,0.011627906976744186
8,few grits,1,0.011627906976744186
9,intense smoke,1,0.011627906976744186
13,bitter,1,0.011627906976744186
16,coffee,1,0.011627906976744186
17,papaya,1,0.011627906976744186
18,chewy,1,0.011627906976744186
20,cocoa,1,0.011627906976744186
24,savory,1,0.011627906976744186
25,off,1,0.011627906976744186
26,tropical,1,0.011627906976744186
46,heavy smoke,1,0.011627906976744186
